 Anastassiadis et al. NBT (2011) Supplementary Table 3: Complete pairwise kinase-compound activity dataset. Average of two replicates is shown as percent remaining kinase activity in the presence of the compound relative to solvent control.                                  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                     Anastassiadis et al.,,,,,,,,,,,,,,,,,
compound name:,ATM Kinase Inhibitor,ATM/ATR Kinase Inhibitor,AG 1024,AGL 2043,Akt Inhibitor IV,"Akt Inhibitor V, Triciribine","Akt Inhibitor VIII, Isozyme-Selective, Akti-1/2",Akt Inhibitor X,Alsterpaullone,Alsterpaullone                  2-Cyanoethyl,"Aloisine A, RP107","Aloisine, RP106",Aminopurvalanol A,"AMPK Inhibitor,                  Compound C",Aurora Kinase Inhibitor III,Aurora Kinase/Cdk Inhibitor,BAY 11-7082,Bcr-abl Inhibitor,Bisindolylmaleimide I,Bisindolylmaleimide IV,Bohemine,BPIQ-I,Cdk1 Inhibitor,"Cdk1 Inhibitor,                    CGP74514A",Cdk1/2 Inhibitor III,Cdk1/5 Inhibitor,"Casein Kinase I Inhibitor, D4476","Casein Kinase II Inhibitor III, TBCA",Cdk4 Inhibitor,Cdk4 Inhibitor II                NSC 625987,Cdk4 Inhibitor III,"Cdc2-Like Kinase Inhibitor, TG003",Cdk/Crk Inhibitor,Chelerythrine Chloride,Chk2 Inhibitor II,Compound 52,Compound 56,Cdk2 Inhibitor III,"Cdk2 Inhibitor IV,                 NU6140",DNA-PK Inhibitor II,DNA-PK Inhibitor III,DNA-PK Inhibitor V,Diacylglycerol Kinase Inhibitor II,DMBI,EGFR/ErbB-2 Inhibitor,EGFR Inhibitor,EGFR/ErbB-2/ErbB-4 Inhibitor ,"ERK Inhibitor II, FR180204",ERK Inhibitor III,"Fascaplysin, Synthetic",Flt-3 Inhibitor,Flt-3 Inhibitor II,Flt-3 Inhibitor III,cFMS Receptor Tyrosine Kinase Inhibitor,GSK-3b Inhibitor I,GSK-3b Inhibitor II,GSK-3b Inhibitor VIII,GSK-3 Inhibitor IX,GSK-3 Inhibitor X,GSK-3b Inhibitor XI,"GSK3b Inhibitor XII, TWS119 ",GSK-3 Inhibitor XIII,Gš 6976 ,Gš 6983,GTP-14564,Isogranulatimide,"H-89, Dihydrochloride","HA 1077, Dihydrochloride                              Fasudil","Herbimycin A, Streptomyces sp.",IC261,IKK-2 Inhibitor IV,Indirubin Derivative E804,Indirubin-3_-monoxime,IGF-1R Inhibitor II,IRAK-1/4 Inhibitor,JAK Inhibitor I,JAK3 Inhibitor II,JNK Inhibitor II,JAK3 Inhibitor IV,"JNK Inhibitor,                    Negative Control",JAK3 Inhibitor VI,JNK Inhibitor V,JNK Inhibitor VIII,JNK Inhibitor IX,"K-252a, Nocardiopsis sp. ",Kenpaullone,KN-62,KN-93,Lck Inhibitor,LY 294002,LY 303511- Negative control,MEK Inhibitor I,MEK Inhibitor II,MEK1/2 Inhibitor,Met Kinase Inhibitor,MNK1 Inhibitor,MK2a Inhibitor,NF-kB Activation Inhibitor,p38 MAP Kinase Inhibitor III ,p38 MAP Kinase Inhibitor,PD 98059,PD 169316,PD 158780,PD 174265,PDGF Receptor Tyrosine Kinase Inhibitor II,PDGF Receptor Tyrosine Kinase Inhibitor III,PDGF Receptor Tyrosine Kinase Inhibitor IV,PDGF RTK Inhibitor,PDK1/Akt/Flt Dual Pathway Inhibitor,PKR Inhibitor,"PKR Inhibitor, Negative Control",PI-103,PI 3-Kg Inhibitor ,PI 3-Kg Inhibitor II ,PP3,"PP1 Analog II, 1NM-PP1","Staurosporine, N-benzoyl-",PKCbII/EGFR Inhibitor,PKCb Inhibitor,Purvalanol A,Rapamycin,"Rho Kinase Inhibitor III, Rockout",Rho Kinase Inhibitor IV,Ro-32-0432,SB 202474 ,SB 202190,SB 203580,SB220025,SB 218078,SC-68376,SKF-86002,Sphingosine Kinase Inhibitor,Src Kinase Inhibitor I,"Staurosporine, Streptomyces sp.",STO-609,SU6656,SU9516,SU11652,Syk Inhibitor,Syk Inhibitor II,Syk Inhibitor III,Tpl2 Kinase Inhibitor,TGF-b RI Kinase Inhibitor,TGF-b RI Inhibitor III,AG 9 ,AG 490,AG 112,AG 1295,AG 1296,AG 1478,VEGF Receptor 2 Kinase Inhibitor I,VEGF Receptor Tyrosine Kinase Inhibitor II,"VEGF Receptor Tyrosine Kinase Inhibitor III, KRN633",VEGF Receptor 2 Kinase Inhibitor II,VEGF Receptor 2 Kinase Inhibitor III,VEGF Receptor 2 Kinase Inhibitor IV,Wortmannin,"ROCK Inhibitor, Y-27632",Bosutinib,Dasatinib,Dovitinib,Erlotinib,Gefitinib,Imatinib,Lapatinib,Masitinib,Mubritinib,Nilotinib,Pazopanib,Roscovitine ,Sorafenib,Sunitinib,Tandutinib ,Tofacitinib,Tozasertib,Vandetanib,Vatalanib,VX-702,,,,,,,,,,,,,,,,
compound CAS#:,587871-26-9,905973-89-9,65678-07-1,226717-28-8,681281-88-9,35943-35-2,612847-09-3,925681-41-0,237430-03-4,852527-97-0,496864-16-5,496864-15-4,220792-57-4,866405-64-3,879127-16-9,443797-96-4,19542-67-7,778270-11-4,133052-90-1,119139-23-0,189232-42-6,174709-30-9,220749-41-7,190654-01-4,443798-55-8,40254-90-8,301836-43-1,934358-00-6,546102-60-7,141992-47-4,265312-55-8,300801-52-9,784211-09-2,3895-92-9,516480-79-8,212779-48-1,171745-13-4,199986-75-9,444723-13-1,154447-35-5,404009-40-1,404009-46-7,120166-69-0,5812-07-7,179248-61-4,879127-07-8,881001-19-0,865362-74-9,345616-52-6,114719-57-2,301305-73-7,896138-40-2,852045-46-6,870483-87-7,327036-89-5,478482-75-6,487021-52-3,667463-62-9,740841-15-0,626604-39-5,601514-19-6,404828-08-6,136194-77-9,133053-19-7,34823-86-4,244148-46-7,127243-85-0,103745-39-7,70563-58-5,186611-52-9,507475-17-4,854171-35-0,160807-49-8,196868-63-0,509093-47-4,457081-03-7,211555-04-3,129-56-6,58753-54-1,54642-23-8,856436-16-3,345987-15-7,894804-07-0,312917-14-9,97161-97-2,142273-20-9,127191-97-3,139298-40-1,213743-31-8,154447-36-6,154447-38-8,297744-42-4,623163-52-0,305350-87-2,658084-23-2,522629-08-9,41179-33-3,545380-34-5,581098-48-8,219138-24-6,167869-21-8,152121-53-4,171179-06-9,216163-53-0,249762-74-1,205254-94-0,627518-40-5,347155-76-4,331253-86-2 ,608512-97-6,852547-30-9,371935-74-9,648450-29-7,648449-76-7,5334-30-5,221244-14-0,120685-11-2,145915-60-2,257879-35-9,212844-53-6,53123-88-9,7272-84-6,913844-45-8,151342-35-7,172747-50-1,152121-30-7,152121-47-6,165806-53-1,135897-06-2,318480-82-9,72873-74-6,312636-16-1,179248-59-0,62996-74-1,52029-86-4,330161-87-0,666837-93-0,326914-10-7,622387-85-3,227449-73-2,1485-00-3,871307-18-5,396129-53-6,356559-13-2,2826-26-8,133550-30-8,144978-82-5,71897-07-9,146535-11-7,175178-82-2,15966-93-5,269390-69-4,286370-15-8,288144-20-7,204005-46-9,216661-57-3,19545-26-7,146986-50-7,380843-75-4,302962-49-8,405169-16-6,183319-69-9,184475-35-2,220127-57-1,231277-92-2,790299-79-5,366017-09-6,641571-10-0,444731-52-6,186692-46-6,284461-73-0,557795-19-4,387867-13-2,477600-75-2,639089-54-6,443913-73-3,212141-51-0,745833-23-2,,,,,,,,,,,,,,,,
ABL1,99.52,101.16,59.83,80.36,96.73,99.85,98.20,106.99,57.65,47.80,79.05,83.38,45.51,7.87,94.89,50.12,98.71,88.92,102.69,89.12,93.80,32.58,95.15,93.98,4.96,91.57,96.65,81.50,83.27,91.69,90.81,92.88,95.65,92.73,96.12,73.29,64.33,95.62,67.09,103.80,98.92,101.86,105.66,102.98,98.01,102.56,97.78,83.29,101.43,105.75,100.77,27.81,63.30,101.84,104.38,107.10,96.82,19.13,43.06,98.88,5.50,75.37,84.61,106.71,99.56,85.62,101.00,96.84,103.70,101.63,88.40,71.92,82.47,99.51,104.17,98.37,79.42,94.20,101.43,99.09,61.97,96.31,100.12,102.78,92.87,82.59,100.11,99.99,67.44,99.18,110.29,101.68,103.08,106.04,89.15,88.09,100.72,89.68,103.48,98.14,93.90,95.89,89.79,98.89,100.07,97.43,44.02,50.58,89.75,71.63,83.95,94.36,95.66,98.55,99.38,91.14,82.69,95.67,96.12,75.56,102.81,98.80,99.33,97.97,101.38,95.21,96.97,100.65,72.66,100.25,102.14,99.75,81.79,23.01,99.29,57.27,92.96,24.65,52.48,96.05,99.97,93.37,77.09,100.33,102.26,100.15,102.76,99.64,94.09,61.76,95.36,99.69,88.98,91.77,95.24,72.94,101.37,97.72,1.80,2.77,24.01,52.29,86.35,44.30,96.38,49.77,99.55,3.54,63.70,102.20,90.43,47.24,103.99,100.92,13.76,11.74,96.52,99.67,,,,,,,,,,,,,,,,
ABL2/ARG,92.00,104.83,57.12,100.18,95.74,101.81,96.77,100.75,54.60,49.81,64.88,70.50,21.32,13.59,83.75,53.91,104.14,105.65,96.25,82.31,93.58,36.96,91.40,65.66,10.52,95.46,99.10,88.66,93.77,92.48,98.28,96.14,96.32,96.67,98.92,60.73,52.09,103.80,67.78,101.15,104.28,104.96,102.66,100.36,101.17,100.36,89.37,57.53,95.75,104.59,101.07,27.18,37.20,106.95,96.66,110.09,97.86,8.39,26.40,83.73,1.40,42.48,42.28,77.68,86.65,79.94,84.41,87.58,94.75,92.03,66.14,38.52,60.31,91.19,93.05,90.28,58.37,99.63,100.03,97.83,67.23,98.75,101.69,98.88,89.48,84.89,98.88,97.41,84.82,98.15,99.50,104.73,106.34,101.49,73.20,82.27,95.33,102.43,95.73,82.80,96.83,89.57,84.78,96.57,96.27,92.93,21.44,74.05,89.72,69.82,80.37,94.91,96.79,95.98,93.01,78.97,76.26,89.61,91.80,32.16,94.22,91.86,98.95,96.29,98.27,91.05,91.52,95.13,68.05,92.81,91.02,93.42,96.35,5.25,99.99,56.82,90.64,46.79,54.24,88.68,96.01,87.35,67.80,95.65,98.45,93.43,94.90,103.28,93.97,52.60,88.55,93.36,90.45,82.57,90.32,63.41,94.89,94.61,2.19,2.74,24.26,32.98,71.98,55.91,97.29,57.71,98.21,4.86,38.47,100.25,99.37,61.78,96.99,90.51,5.75,14.01,100.63,100.00,,,,,,,,,,,,,,,,
ACK1,95.67,97.96,93.12,99.98,98.00,92.51,92.29,94.65,74.85,75.44,49.88,51.24,47.82,82.17,66.48,68.03,94.87,98.48,94.68,94.86,99.80,87.33,98.40,92.42,6.41,101.13,103.23,110.03,97.36,96.27,94.26,101.67,98.86,101.44,102.82,70.81,58.78,101.13,21.42,100.37,101.23,104.13,104.79,101.32,53.12,98.68,95.13,82.69,99.88,89.93,93.38,90.58,66.61,105.22,100.81,101.08,96.81,36.89,74.67,90.70,19.61,10.84,2.78,77.90,85.79,41.31,88.30,89.35,96.97,97.43,5.62,4.93,40.57,102.39,101.16,4.36,10.54,66.28,92.38,83.32,79.44,42.77,92.19,95.40,1.05,38.76,94.82,94.06,2.70,88.67,90.71,92.59,91.46,100.33,65.43,61.53,99.21,101.61,78.43,91.21,79.92,46.35,30.26,93.50,77.75,77.10,15.07,26.87,44.94,71.24,32.44,89.56,91.42,93.25,90.26,2.36,0.49,93.19,65.85,55.62,98.47,96.15,84.53,96.31,100.32,83.16,82.11,97.95,2.39,97.71,98.01,103.33,48.96,2.17,100.93,12.62,92.61,22.62,72.32,74.54,99.22,89.87,96.24,99.34,100.03,98.29,98.05,98.40,93.23,28.57,92.66,99.34,96.54,92.85,75.85,92.16,102.42,101.78,3.54,2.62,83.12,66.55,72.80,94.37,97.52,95.72,81.81,82.57,90.17,96.68,97.60,64.11,92.69,87.07,66.43,85.37,91.66,96.10,,,,,,,,,,,,,,,,
AKT1,113.08,117.84,108.24,114.35,103.93,108.23,114.15,112.05,107.28,111.30,113.52,112.75,116.75,103.96,109.14,119.79,111.88,106.79,93.53,87.67,83.42,89.11,93.96,108.29,103.09,106.42,103.26,97.36,100.86,89.71,83.27,90.11,94.67,97.61,97.91,102.70,111.69,103.48,98.75,101.08,103.22,102.41,98.32,101.28,103.20,102.44,98.15,98.02,99.71,97.05,99.71,98.20,100.66,97.39,100.51,98.59,101.82,97.71,99.56,98.61,92.51,107.30,108.19,98.98,86.88,101.79,41.57,99.35,93.29,94.88,98.96,95.55,97.80,95.76,94.89,86.83,93.99,102.16,100.08,99.08,100.86,103.99,102.12,101.42,86.17,99.92,101.87,105.65,102.62,95.74,103.00,103.62,103.31,100.71,98.80,93.30,97.75,98.23,101.28,96.44,93.76,93.40,98.82,95.84,101.52,93.66,93.30,95.70,79.72,79.23,97.92,95.26,98.33,98.20,103.29,94.22,81.28,94.83,100.58,101.66,104.37,100.35,103.50,98.69,,100.81,102.38,99.88,63.90,101.90,104.71,106.23,106.83,7.49,100.76,107.04,100.11,101.92,104.79,96.42,102.54,98.59,100.38,94.61,95.95,101.29,99.24,101.10,99.24,89.94,96.09,97.57,93.05,99.82,90.09,92.43,95.43,86.23,94.41,96.70,98.49,93.67,94.14,93.14,95.60,93.21,93.16,99.67,91.17,90.35,96.17,104.83,102.41,90.27,99.19,94.70,102.97,84.72,,,,,,,,,,,,,,,,
AKT2,96.04,91.57,97.71,91.50,99.63,107.11,96.79,100.68,101.44,100.39,95.30,93.79,100.45,87.63,106.59,106.94,94.86,105.40,88.72,102.45,105.12,106.05,96.77,107.73,102.59,90.06,95.95,97.52,86.91,94.57,91.34,95.21,92.40,93.56,95.86,92.44,87.63,89.89,92.04,98.95,96.23,97.93,101.02,98.07,101.45,102.81,102.99,97.53,99.68,87.53,97.04,104.38,92.43,102.47,99.21,100.83,102.61,100.60,113.36,113.92,109.41,127.16,109.54,109.53,112.08,120.66,75.43,115.19,94.37,93.15,93.61,90.10,91.95,94.94,96.96,89.83,98.66,95.95,96.51,98.92,101.67,104.39,102.86,105.21,84.20,103.58,105.60,106.14,99.66,94.01,100.06,103.22,96.29,101.71,102.27,107.90,101.29,101.40,96.78,97.79,97.37,104.34,99.56,102.28,105.29,87.55,95.28,101.80,55.76,89.71,93.87,99.13,100.62,96.21,102.35,102.45,77.21,95.09,92.31,90.02,96.09,96.36,97.19,92.63,100.47,99.03,96.78,94.79,48.52,96.66,95.95,96.40,99.44,5.51,101.37,105.48,105.90,86.85,88.63,90.89,90.77,100.71,92.97,80.06,98.10,98.44,92.82,99.71,86.66,84.11,87.63,95.18,89.75,90.30,93.46,93.34,94.17,92.00,104.20,94.10,108.64,108.13,111.08,111.81,104.99,103.38,99.87,102.52,107.14,102.01,102.65,87.36,97.91,98.03,103.23,110.18,103.99,118.28,,,,,,,,,,,,,,,,
AKT3,109.15,106.46,110.87,111.58,108.76,108.36,102.99,103.18,94.15,95.52,95.81,101.98,101.15,104.38,107.95,95.04,93.69,93.53,31.47,89.96,89.33,89.48,93.60,95.79,96.41,95.29,101.07,92.72,91.08,91.95,92.81,96.08,,102.71,100.48,99.88,104.02,100.09,101.13,98.28,106.85,104.64,99.42,102.88,103.12,99.36,97.83,97.48,94.34,100.88,101.81,101.95,94.81,96.52,96.57,90.68,95.92,89.40,95.09,101.31,96.21,95.47,85.29,63.71,84.43,94.31,68.97,94.11,94.15,98.14,98.31,92.95,98.77,102.83,96.94,76.40,101.31,97.00,95.81,102.10,91.16,105.01,104.86,99.63,27.34,105.46,104.13,105.41,98.16,102.32,102.13,101.43,104.54,96.23,106.60,104.45,111.03,104.23,91.48,94.29,101.37,99.11,103.41,94.37,100.61,97.53,96.10,95.92,81.23,90.23,96.91,99.03,103.80,103.41,102.34,96.87,55.13,100.25,71.01,102.15,97.82,101.18,98.85,56.29,100.96,98.43,101.55,92.57,27.14,106.25,108.62,105.30,105.49,2.97,103.77,96.69,101.47,84.18,97.40,88.86,95.55,95.14,92.60,94.68,90.62,90.77,95.76,91.76,94.46,98.34,102.75,97.91,88.91,96.61,99.36,95.36,94.59,97.33,90.66,89.91,88.04,74.61,84.59,92.41,83.52,101.56,96.28,74.76,93.35,84.63,94.22,71.68,106.13,85.83,85.00,100.37,89.90,86.24,,,,,,,,,,,,,,,,
ALK,96.16,110.12,97.94,99.80,99.14,109.26,105.70,105.54,94.17,78.84,85.00,96.67,79.65,84.48,99.76,90.15,103.44,102.93,86.96,95.69,94.35,92.43,97.87,92.35,16.69,96.68,100.42,98.62,93.96,104.99,104.65,104.79,103.18,105.39,101.88,91.79,85.79,98.98,74.91,104.25,105.71,102.41,104.10,99.72,102.96,111.67,103.18,107.89,93.65,94.60,66.22,97.04,97.00,97.36,94.11,101.22,100.38,88.52,86.68,104.53,80.89,75.85,12.20,96.02,95.86,84.62,101.32,119.50,89.72,95.29,81.08,38.10,76.47,99.17,96.25,19.98,12.45,91.67,88.89,87.44,76.02,85.25,92.90,96.39,10.71,90.82,96.51,98.10,80.60,92.35,83.83,96.32,88.47,100.24,77.66,88.92,97.02,108.40,93.28,83.77,84.15,88.81,82.05,83.09,83.68,100.72,102.58,80.81,83.46,72.44,65.77,90.45,93.26,83.39,90.91,91.88,49.16,92.58,97.70,100.46,114.99,105.90,112.73,99.55,105.99,103.67,104.76,102.03,36.91,107.83,124.30,110.95,109.36,0.86,92.71,43.60,112.31,3.45,72.10,80.14,109.44,107.37,111.46,103.48,110.29,105.32,108.52,98.03,94.13,91.53,79.18,103.48,,88.48,47.41,80.36,102.75,94.83,65.99,109.91,80.51,86.68,98.75,95.07,103.81,102.73,108.23,102.53,85.31,95.61,97.27,16.62,103.34,106.54,91.46,87.68,101.78,99.57,,,,,,,,,,,,,,,,
ALK1/ACVRL1,99.92,106.69,104.77,109.13,110.05,105.60,104.62,102.34,76.17,53.56,76.20,76.98,108.78,21.58,84.61,88.51,100.26,99.19,106.55,96.51,100.78,101.78,99.83,99.91,15.06,104.84,106.82,103.29,109.17,98.98,100.93,101.62,102.86,99.23,104.60,103.49,103.39,100.72,106.19,100.05,102.54,105.04,101.12,104.44,102.34,113.85,100.92,106.11,105.81,101.50,110.43,98.44,107.92,100.56,117.12,103.44,106.49,103.49,107.45,104.97,70.29,115.07,73.64,87.81,111.30,108.79,118.71,111.18,100.76,101.41,103.84,102.55,107.78,98.61,97.88,105.26,102.43,111.83,106.79,102.33,101.96,101.86,106.58,106.92,88.33,99.04,102.82,98.44,95.94,91.87,105.55,98.71,105.03,106.10,102.66,107.87,101.12,93.53,92.16,88.11,93.55,96.13,90.64,97.39,90.87,93.05,102.07,91.74,104.78,112.76,96.41,105.37,106.81,97.12,109.22,115.89,94.34,95.93,95.90,96.67,97.88,100.45,99.20,98.48,100.74,95.40,97.67,95.62,78.58,95.94,97.89,103.03,100.23,83.74,102.76,101.92,98.68,88.99,99.11,99.36,100.18,96.92,101.96,126.58,97.62,105.97,88.83,97.88,95.79,96.43,94.77,98.94,100.33,102.88,104.23,76.36,98.79,101.32,67.65,15.93,125.16,100.90,96.86,105.65,104.52,103.07,103.04,116.46,102.47,102.74,103.84,111.78,101.55,100.43,99.46,104.11,98.52,99.29,,,,,,,,,,,,,,,,
ALK2/ACVR1,97.51,98.76,101.89,99.28,102.58,103.30,102.08,101.39,79.69,58.78,83.79,86.94,99.42,15.38,110.91,104.49,101.25,99.45,96.33,97.09,99.29,109.22,100.16,92.71,60.36,94.32,85.73,92.06,127.36,99.21,99.11,88.09,94.74,93.22,92.51,80.29,97.14,85.92,98.83,107.29,107.21,107.04,106.91,103.71,101.10,102.80,104.64,107.19,97.98,101.63,158.60,122.63,164.34,100.04,102.40,97.37,99.50,113.62,102.46,96.99,182.60,149.03,155.15,97.97,99.42,103.46,96.37,96.51,102.04,109.70,136.63,199.37,112.37,76.17,100.17,134.71,128.08,134.09,93.63,110.08,108.15,100.05,95.25,72.87,119.66,162.08,94.98,90.58,95.43,91.21,90.29,93.06,96.93,100.89,96.82,127.22,95.16,91.79,89.29,91.65,92.66,106.96,103.56,93.75,100.31,99.97,107.18,93.51,93.07,143.53,129.74,104.87,101.88,97.36,100.98,105.75,95.46,92.33,94.43,92.63,94.58,94.67,95.76,93.32,95.76,106.47,97.44,86.49,85.82,104.18,94.17,94.92,93.72,91.87,91.14,98.65,105.02,107.79,111.33,98.93,96.39,95.57,105.92,96.44,96.73,91.35,93.80,91.76,99.27,107.86,99.77,97.21,100.56,96.96,96.14,91.05,92.95,98.42,93.27,196.97,154.70,100.58,105.63,100.78,105.52,101.22,100.89,111.84,103.79,91.56,98.73,120.84,144.66,104.12,162.30,208.31,96.09,105.05,,,,,,,,,,,,,,,,
